trace_index,call_type,from,to,value_eth,gas_used,function,success
0,call,0xf43e8c65956aef41f53b2be01845e01880897116,0x3154cf16ccdb4c6d922629664174b904d80f2c35,0.392,431784,"bridgeETHTo(address,uint32,bytes)",True
1,staticcall,0x3154cf16ccdb4c6d922629664174b904d80f2c35,0x0475cbcaebd9ce8afa5025828d5b98dfb67e059e,0.0,2347,isUpgrading(),True
2,delegatecall,0x3154cf16ccdb4c6d922629664174b904d80f2c35,0x0b09ba359a106c9ea3b181cbc5f394570c7d2a7a,0.392,419009,"bridgeETHTo(address,uint32,bytes)",True
3,call,0x3154cf16ccdb4c6d922629664174b904d80f2c35,0x866e82a600a1414e583f7f13623f1ac5d58b0afa,0.392,397042,"sendMessage(address,bytes,uint32)",True
4,staticcall,0x866e82a600a1414e583f7f13623f1ac5d58b0afa,0x8efb6b5c4767b09dc9aa6af4eaa89f749522bae2,0.0,3213,getAddress(string),True
5,delegatecall,0x866e82a600a1414e583f7f13623f1ac5d58b0afa,0x5d5a095665886119693f0b41d8dfee78da033e8b,0.392,383408,"sendMessage(address,bytes,uint32)",True
6,call,0x866e82a600a1414e583f7f13623f1ac5d58b0afa,0x49048044d57e1c92a77f79988d21fa8faf74e97e,0.392,354096,"depositTransaction(address,uint256,uint64,bool,bytes)",True
7,delegatecall,0x49048044d57e1c92a77f79988d21fa8faf74e97e,0xb443da3e07052204a02d630a8933dac05a0d6fb4,0.392,348996,"depositTransaction(address,uint256,uint64,bool,bytes)",True
8,staticcall,0x49048044d57e1c92a77f79988d21fa8faf74e97e,0x73a79fab69143498ed3712e519a88a918e1f4072,0.0,7969,resourceConfig(),True
9,delegatecall,0x73a79fab69143498ed3712e519a88a918e1f4072,0x78ffe9209dff6fe1c9b6f3efdf996bee60346d0e,0.0,2962,resourceConfig(),True
